,Wine,Location,Rating,Price,Year
965,Reustle 2014 Winemaker's Reserve Syrah (Umpqua Valley),Southern Oregon,87,39.0,2014
966,Schmidt 2012 Syrah (Applegate Valley),Southern Oregon,87,36.0,2012
967,a-non-ah-mus 2010 Alisos Vineyard Syrah (Santa Barbara County),Central Coast,87,37.0,2010
968,Kendall-Jackson 2014 Vintner's Reserve Syrah (Santa Barbara County),Central Coast,87,17.0,2014
969,Edna Valley Vineyard 2013 Reserve Syrah (Edna Valley),Central Coast,86,40.0,2013
970,Lawer 2013 Betsy's Vineyard Syrah (Knights Valley),Sonoma,86,32.0,2013
971,Reustle 2014 Masada Bloc Syrah (Umpqua Valley),Southern Oregon,85,32.0,2014
972,Lawer 2015 Rosé of Syrah (Knights Valley),Sonoma,84,22.0,2015
973,Boheme 2012 Occidental Hills Syrah (Sonoma Coast),Sonoma,94,49.0,2012
974,Wilde Farm Wines 2014 Cardiac Hill Vineyard Syrah (Bennett Valley),Sonoma,94,36.0,2014
975,Gramercy 2013 Lower East Syrah (Columbia Valley (WA)),Columbia Valley,93,28.0,2013
976,Gramercy 2013 The Deuce Syrah (Walla Walla Valley (WA)),Columbia Valley,93,54.0,2013
977,Limerick Lane 2013 Headpruned Block Syrah (Russian River Valley),Sonoma,93,45.0,2013
978,Four Lanterns 2013 Fire Light Syrah (Paso Robles),Central Coast,93,62.0,2013
979,Gramercy 2013 John Lewis Syrah (Walla Walla Valley (WA)),Columbia Valley,93,85.0,2013
980,Eight Bells 2013 8 Clones Red Willow Vineyard Syrah (Yakima Valley),Columbia Valley,92,35.0,2013
981,kukkula 2013 Noir Syrah (Adelaida District),Central Coast,92,45.0,2013
982,Andrew Murray 2014 Tous les Jours Syrah (Santa Ynez Valley),Central Coast,92,18.0,2014
983,Dilecta 2013 Bien Nacido Vineyard Syrah (Santa Barbara County),Central Coast,92,46.0,2013
984,Michael Rose Cellars 2013 Estrella Creek Vineyard Syrah (Paso Robles),Central Coast,91,34.0,2013
985,Grey Wolf Cellars 2013 Predator Syrah (Paso Robles),Central Coast,91,34.0,2013
986,Kontos 2013 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,91,40.0,2013
987,Bernat 2009 Presence Colson Canyon Syrah (Santa Barbara County),Central Coast,91,30.0,2009
988,Vie Winery 2012 Les Amours Syrah (Santa Barbara County),Central Coast,91,42.0,2012
989,Pursued by Bear 2012 Baby Bear Syrah (Columbia Valley (WA)),Columbia Valley,90,60.0,2012
990,Kunde 2013 Estate Grown Syrah (Sonoma Valley),Sonoma,90,25.0,2013
991,Piggyback 2012 Syrah (Yakima Valley),Columbia Valley,90,32.0,2012
992,L'Ecole No. 41 2013 Syrah (Columbia Valley (WA)),Columbia Valley,90,24.0,2013
993,Jaffurs 2013 Syrah (Santa Barbara County),Central Coast,89,29.0,2013
994,Tertulia 2013 Estate Vineyards Syrah (Walla Walla Valley (WA)),Columbia Valley,89,35.0,2013
995,Ott & Murphy 2012 Boushey Vineyard Syrah (Columbia Valley (WA)),Columbia Valley,89,27.0,2012
996,Qupé 2012 Syrah (Central Coast),Central Coast,89,20.0,2012
997,Comartin 2013 Tierra Alta Vineyard Syrah (Ballard Canyon),Central Coast,89,42.0,2013
998,Bedell 2013 Syrah (North Fork of Long Island),Long Island,88,50.0,2013
999,Carucci 2012 Thompson Vineyard Syrah (Santa Barbara County),Central Coast,88,38.0,2012
1000,Silver Mountain 2011 Syrah (Central Coast),Central Coast,87,32.0,2011
1001,Tertulia 2012 Whistling Hills Estate Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,87,35.0,2012
1002,Deuce 2012 Reserve Syrah (Walla Walla Valley (WA)),Columbia Valley,86,40.0,2012
1003,Clos LaChance 2012 Syrah (Central Coast),Central Coast,86,18.0,2012
1004,Eberle 2015 Rosé of Syrah (Paso Robles),Central Coast,86,20.0,2015
1005,Dutton-Goldfield 2013 Dutton Ranch Cherry Ridge Vineyard Syrah (Russian River Valley),Sonoma,95,50.0,2013
1006,Foxen 2013 Williamson-Doré Vineyard Syrah (Santa Ynez Valley),Central Coast,94,46.0,2013
1007,Big Basin 2012 Coastview Vineyard Syrah (Monterey County),Central Coast,93,48.0,2012
1008,Big Basin 2012 Old Corral Syrah (Santa Cruz Mountains),Central Coast,93,55.0,2012
1009,Foxen 2013 Tinaquaic Vineyard Syrah (Santa Maria Valley),Central Coast,93,48.0,2013
1010,Spicy Vines 2013 Dragon's Kiss Syrah (Dry Creek Valley),Sonoma,93,35.0,2013
1011,Joseph Swan Vineyards 2010 Great Oak Vineyard Syrah (Russian River Valley),Sonoma,93,32.0,2010
1012,Sinor-LaVallee 2013 Black Label Bassi Vineyard Syrah (San Luis Obispo County),Central Coast,93,45.0,2013
1013,Wrath 2013 San Saba Vineyard Syrah (Monterey),Central Coast,93,39.0,2013
1014,Eric Kent 2012 Las Madres Vineyard Syrah (Carneros),Napa-Sonoma,92,44.0,2012
1015,Paredon 2008 Syrah (Santa Barbara County),Central Coast,92,40.0,2008
1016,Eric Kent 2012 Kalen's Big Boy Blend Syrah (Sonoma County),Sonoma,92,46.0,2012
1017,Margerum 2013 Über Syrah (Santa Barbara County),Central Coast,92,50.0,2013
1018,Rancho Sisquoc 2013 Flood Family Vineyards Syrah (Santa Barbara County),Central Coast,92,25.0,2013
1019,Big Basin 2012 Rattlesnake Rock Syrah (Santa Cruz Mountains),Central Coast,92,55.0,2012
1020,Paraduxx 2012 Syrah (Napa Valley),Napa,92,55.0,2012
1021,Nicora 2013 Shadow Canyon Vineyard Syrah (York Mountain),Central Coast,92,55.0,2013
1022,Sanguis 2012 Pilgrim Syrah (Central Coast),Central Coast,91,74.0,2012
1023,Margerum 2013 Black Oak Vineyard Syrah (Santa Barbara County),Central Coast,91,40.0,2013
1024,Margerum 2013 Purisima Mountain Vineyard Syrah (Ballard Canyon),Central Coast,91,40.0,2013
1025,Davis Family 2013 Soul Patch Estate Grown Syrah (Russian River Valley),Sonoma,91,42.0,2013
1026,Sinor-LaVallee 2013 Anniversary Cuvée Syrah (San Luis Obispo County),Central Coast,91,55.0,2013
1027,Niner 2013 Heart Hill Vineyard Estate Grown Syrah (Paso Robles),Central Coast,91,45.0,2013
1028,Zaca Mesa 2012 Eight Barrel Syrah (Santa Ynez Valley),Central Coast,91,48.0,2012
1029,Alta Colina 2012 Old 900 Syrah (Paso Robles),Central Coast,91,46.0,2012
1030,Big Basin 2013 Syrah (Santa Cruz Mountains),Central Coast,91,36.0,2013
1031,Bernat 2010 Eloquent Syrah (Santa Ynez Valley),Central Coast,91,30.0,2010
1032,Firestone 2012 Clone 174 Syrah (Santa Ynez Valley),Central Coast,90,30.0,2012
1033,Qupé 2012 Syrah (Santa Barbara County),Central Coast,90,30.0,2012
1034,Heintz 2013 Roxy Syrah (Sonoma Coast),Sonoma,90,46.0,2013
1035,Bernat 2010 Intrigue Syrah (Santa Ynez Valley),Central Coast,90,35.0,2010
1036,Sinor-LaVallee 2013 White Label Bassi VIneyard Syrah (San Luis Obispo County),Central Coast,89,45.0,2013
1037,Westwood 2014 Annadel Gap Vineyard Estate Syrah (Sonoma Valley),Sonoma,89,40.0,2014
1038,Cinnabar 2013 Syrah (Paso Robles),Central Coast,89,42.0,2013
1039,Ken Brown 2013 A Cuvée Syrah (Santa Barbara County),Central Coast,89,35.0,2013
1040,Margerum 2013 Colson Canyon Vineyard Syrah (Santa Barbara County),Central Coast,89,40.0,2013
1041,Nagy 2012 Syrah (Santa Barbara County),Central Coast,88,45.0,2012
1042,Robert Hall 2013 Syrah (Paso Robles),Central Coast,88,20.0,2013
1043,Left Bend 2012 Syrah (Santa Cruz Mountains),Central Coast,88,35.0,2012
1044,Iris Vineyards 2014 Steelhead Vineyard Syrah (Applegate Valley),Southern Oregon,88,24.0,2014
1045,Iris Vineyards 2014 Aroha Vineyard Syrah (Umpqua Valley),Southern Oregon,88,24.0,2014
1046,Firestone 2012 Syrah (Santa Ynez Valley),Central Coast,88,25.0,2012
1047,Broken Earth 2013 Syrah-Viognier (Paso Robles),Central Coast,87,28.0,2013
1048,Kitá 2013 Camp 4 Vineyard Syrah (Santa Ynez Valley),Central Coast,86,30.0,2013
1049,Eberle 2013 Steinbeck Vineyard Syrah (Paso Robles),Central Coast,86,26.0,2013
1050,Consilience 2013 Syrah (Santa Barbara County),Central Coast,85,22.0,2013
1051,Balderdash 2012 Brakelight Reserve Syrah (Paso Robles),Central Coast,85,45.0,2012
1052,Valley View 2012 Anna Maria Syrah (Applegate Valley),Southern Oregon,84,24.0,2012
1053,Coruce 2012 Syrah (Antelope Valley of the California High Desert),South Coast,84,25.0,2012
1054,Charles Smith 2012 Royal City Syrah (Columbia Valley (WA)),Columbia Valley,96,140.0,2012
1055,K Vintners 2012 Cattle King Syrah (Snipes Mountain),Columbia Valley,95,70.0,2012
1056,K Vintners 2012 Klein Syrah (Walla Walla Valley (WA)),Columbia Valley,94,70.0,2012
1057,Nicora 2013 Russell Family Vineyard Syrah (Paso Robles Willow Creek District),Central Coast,94,55.0,2013
1058,Two Vintners 2013 Some Days Are Stones Stoney Vine Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,93,45.0,2013
1059,K Vintners 2012 Morrison Lane Syrah (Walla Walla Valley (WA)),Columbia Valley,93,45.0,2012
1060,Steele 2012 Stymie Syrah (Lake County),California,93,36.0,2012
1061,Prospect 772 2013 The Brawler Syrah (California),California Other,93,36.0,2013
1062,K Vintners 2012 The Beautiful Syrah (Walla Walla Valley (WA)),Columbia Valley,93,50.0,2012
1063,K Vintners 2012 The Hidden Syrah (Wahluke Slope),Columbia Valley,93,70.0,2012
1064,Prospect 772 2013 The Instigator Syrah (California),California Other,92,36.0,2013
1065,Kerloo 2013 Les Collines Syrah (Walla Walla Valley (WA)),Columbia Valley,92,40.0,2013
1066,Va Piano 2013 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,92,65.0,2013
1067,Krupp Brothers 2013 Black Bart Stagecoach Vineyard Syrah (Napa Valley),Napa,92,75.0,2013
1068,Nicora 2013 Buxom Syrah (Paso Robles),Central Coast,92,50.0,2013
1069,K Vintners 2012 River Rock Syrah (Walla Walla Valley (WA)),Columbia Valley,92,45.0,2012
1070,Westerly 2013 Côte Blonde Syrah (Santa Ynez Valley),Central Coast,92,45.0,2013
1071,Morse 2012 Estate Reserve Syrah (Amador County),Sierra Foothills,91,30.0,2012
1072,Kerloo 2013 Les Collines Limited Release Syrah (Walla Walla Valley (WA)),Columbia Valley,91,48.0,2013
1073,Coruce 2010 Syrah (Central Coast),Central Coast,91,25.0,2010
1074,Terra Bella 2009 Estate Syrah (Paso Robles),Central Coast,91,45.0,2009
1075,Va Piano 2013 Portteus Vineyard Syrah (Rattlesnake Hills),Columbia Valley,91,65.0,2013
1076,Love That Red 2013 Stakes Race Syrah (Columbia Valley (WA)),Columbia Valley,91,45.0,2013
1077,K Vintners 2012 Rock Garden Syrah (Walla Walla Valley (WA)),Columbia Valley,91,60.0,2012
1078,Martin Lane Winery 2011 Estate Syrah (Sierra Foothills),Sierra Foothills,91,30.0,2011
1079,Morse 2012 Deadman's Fork Vineyard Syrah (Amador County),Sierra Foothills,91,16.0,2012
1080,K Vintners 2013 M.C.K. Motor City Kitty Syrah (Washington),Washington Other,91,35.0,2013
1081,Kobler 2012 Kobler Family Vineyards Syrah (Russian River Valley),Sonoma,91,40.0,2012
1082,Zaca Mesa 2011 Syrah (Santa Ynez Valley),Central Coast,91,25.0,2011
1083,K Vintners 2012 The Deal Sundance Syrah (Wahluke Slope),Columbia Valley,91,35.0,2012
1084,Two Vintners 2013 Some Days Are Diamonds Syrah (Horse Heaven Hills),Columbia Valley,91,45.0,2013
1085,Zaca Mesa 2012 Chapel G Syrah (Santa Ynez Valley),Central Coast,91,48.0,2012
1086,Telaya 2013 Syrah,Idaho,90,30.0,2013
1087,Perry Creek 2012 Altitude 2401 Fair Play Farms Syrah (El Dorado),Sierra Foothills,90,28.0,2012
1088,Kevin White 2013 En Hommage Syrah (Yakima Valley),Columbia Valley,90,28.0,2013
1089,Cinder 2013 Syrah,Idaho,90,28.0,2013
1090,Tamarack Cellars 2013 Syrah (Columbia Valley (WA)),Columbia Valley,90,28.0,2013
1091,Patland 2012 Stagecoach Vineyard Syrah (Napa Valley),Napa,90,75.0,2012
1092,Michael David 2013 6th Sense Syrah (Lodi),Central Valley,90,16.0,2013
1093,Va Piano 2013 Lewis Vineyard Syrah (Yakima Valley),Columbia Valley,90,65.0,2013
1094,Plumb Cellars 2012 JKII Estate Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,89,26.0,2012
1095,Doyenne 2013 Signature Syrah (Yakima Valley),Columbia Valley,89,45.0,2013
1096,City Winery of New York 2012 Reserve Alder Springs Vineyard Syrah (Mendocino),California,89,36.0,2012
1097,Serena's Vineyard 2010 Private Reserve Syrah (Paso Robles),Central Coast,89,24.0,2010
1098,Martin Lane Winery 2010 Sanguinetti Vineyard Syrah (Lodi),Central Valley,89,25.0,2010
1099,Francis Ford Coppola 2012 Wallace Creek Vineyards Reserve Syrah (Dry Creek Valley),Sonoma,89,36.0,2012
1100,:Nota Bene 2012 Syrah (Columbia Valley (WA)),Columbia Valley,89,25.0,2012
1101,Shooting Star 2012 Syrah (Lake County),California,89,14.0,2012
1102,Hawkins Cellars 2013 Reserve Syrah (Columbia Valley (WA)),Columbia Valley,89,34.0,2013
1103,Tamarack Cellars 2013 Ciel du Cheval Vineyard Syrah (Red Mountain),Columbia Valley,89,40.0,2013
1104,Colter's Creek 2013 Syrah,Idaho,89,17.0,2013
1105,Copper Belt 2012 Syrah (Columbia Valley (WA)),Columbia Valley,89,24.0,2012
1106,Reynoso 2012 Estate Grown Syrah (Alexander Valley),Sonoma,88,36.0,2012
1107,Lincourt 2013 Syrah (Sta. Rita Hills),Central Coast,88,40.0,2013
1108,Miracle Hill 2012 Syrah (Sonoma Valley),Sonoma,88,45.0,2012
1109,Charles Smith 2013 Boom Boom! Syrah (Columbia Valley (WA)),Columbia Valley,88,15.0,2013
1110,Midnight 2012 Nocturne Syrah (Paso Robles),Central Coast,88,32.0,2012
1111,Sonkin Cellars 2012 Unmasked Syrah (Yorkville Highlands),North Coast,87,46.0,2012
1112,Manzanita Creek 2010 Pigoni Ranch Syrah (Alexander Valley),Sonoma,87,38.0,2010
1113,Hawk Watch Winery 2011 Signature Reserve Syrah (South Coast),South Coast,87,52.0,2011
1114,Cloak & Dagger 2012 The Conspirator's Reserve Syrah (Paso Robles),Central Coast,87,49.0,2012
1115,:Nota Bene 2012 Ciel du Cheval Vineyard Syrah (Red Mountain),Columbia Valley,87,40.0,2012
1116,Koenig Vineyards 2011 Three Vineyard Cuvée Syrah,Idaho,87,20.0,2011
1117,Waterbrook 2014 Syrah (Columbia Valley (WA)),Columbia Valley,87,14.0,2014
1118,Rotta 2013 Syrah (San Luis Obispo County),Central Coast,86,35.0,2013
1119,Hawkins Cellars 2014 Syrah (Columbia Valley (WA)),Columbia Valley,86,36.0,2014
1120,Bota Box 2013 Shiraz (California),California Other,86,23.0,2013
1121,Earthshaker 2013 Pomp and Power Syrah (Knights Valley),Sonoma,84,16.0,2013
1122,Owl Ridge 2012 Syrah (Russian River Valley),Sonoma,83,24.0,2012
1123,Cowhorn 2012 Syrah 20 Syrah (Applegate Valley),Southern Oregon,94,45.0,2012
1124,Stolpman 2013 Angeli Syrah (Ballard Canyon),Central Coast,94,68.0,2013
1125,Law 2012 intrepid Syrah (Paso Robles),Central Coast,93,69.0,2012
1126,Chamisal Vineyards 2012 Syrah (Edna Valley),Central Coast,92,38.0,2012
1127,Abacela 2012 Barrel Select Syrah (Umpqua Valley),Southern Oregon,92,29.0,2012
1128,Kaleidos 2012 Syrah (Paso Robles),Central Coast,91,32.0,2012
1129,Grizzly Peak 2012 Syrah (Rogue Valley),Southern Oregon,91,24.0,2012
1130,Dante Robere 2013 Estate Reserve Syrah (Livermore Valley),Central Coast,91,36.0,2013
1131,Stolpman 2012 Ruben's Block Syrah (Ballard Canyon),Central Coast,90,98.0,2012
1132,Dobbes Family Estate 2012 Fortmiller Vineyard Syrah (Rogue Valley),Southern Oregon,90,50.0,2012
1133,Galatea Effect 2011 Genception of Giants Syrah (California),California Other,90,175.0,2011
1134,Dante Robere 2013 Estate Syrah (Livermore Valley),Central Coast,90,34.0,2013
1135,Las Positas 2012 Estate Syrah (Livermore Valley),Central Coast,89,35.0,2012
1136,McManis 2014 Syrah (California),California Other,89,11.0,2014
1137,Solminer 2014 Rubelite Syrah (Santa Ynez Valley),Central Coast,89,28.0,2014
1138,Plaisance Ranch 2013 Papa Joe's Private Stash Syrah (Applegate Valley),Southern Oregon,89,25.0,2013
1139,Kendall-Jackson 2013 Vintner's Reserve Syrah (Santa Barbara),Central Coast,89,17.0,2013
1140,Fess Parker 2012 Syrah (Santa Barbara County),Central Coast,88,28.0,2012
1141,Ledger David 2013 Syrah (Rogue Valley),Southern Oregon,88,42.0,2013
1142,Clavo Cellars 2011 Reckless Moment Syrah (Paso Robles),Central Coast,88,30.0,2011
1143,Klinker Brick 2013 Farrah Syrah (Lodi),Central Valley,88,20.0,2013
1144,Mackinaw Trail 2012 Unrestricted Syrah (Michigan),Michigan,87,100.0,2012
1145,Griffin Creek 2012 Syrah (Rogue Valley),Southern Oregon,87,40.0,2012
1146,Nathaniel Rose 2013 Single Barrel #4 Katherine's Vineyard Domaine Barrien Syrah-Viognier (Lake Michigan Shore),Michigan,84,85.0,2013
1147,Pat Paulsen Vineyards 2013 England-Shaw Vienyard Syrah (Solano County),North Coast,83,24.0,2013
1148,Nathaniel Rose 2013 La Blonde Chris Glenn Vineyard Syrah (Lake Michigan Shore),Michigan,83,50.0,2013
1149,"Donkey & Goat 2012 Broken Leg Vineyard, The Recluse Syrah (Anderson Valley)",California,82,42.0,2012
1150,Sleight of Hand 2013 Psychedelic Stoney Vine Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,95,60.0,2013
1151,Stolo 2013 Estate Syrah (San Luis Obispo County),Central Coast,94,40.0,2013
1152,TH 2013 Three-Four Syrah (Paso Robles),Central Coast,94,80.0,2013
1153,Stolpman 2013 Hilltops Syrah (Ballard Canyon),Central Coast,93,48.0,2013
1154,Betz Family 2013 La Côte Rousse Syrah (Red Mountain),Columbia Valley,93,57.0,2013
1155,Betz Family 2013 La Côte Patriarche Syrah (Yakima Valley),Columbia Valley,93,57.0,2013
1156,Sleight of Hand 2013 Levitation Syrah (Columbia Valley (WA)),Columbia Valley,93,45.0,2013
1157,Testarossa 2013 Garys' Vineyard Syrah (Santa Lucia Highlands),Central Coast,93,60.0,2013
1158,Co Dinn 2013 Roskamp Vineyard Block Two Syrah (Snipes Mountain),Columbia Valley,93,50.0,2013
1159,Pace 2013 Syrah (Santa Ynez Valley),Central Coast,93,35.0,2013
1160,Syncline 2013 McKinley Springs Vineyard Syrah (Horse Heaven Hills),Columbia Valley,93,30.0,2013
1161,Novy 2013 Susan's Hill Vineyard Syrah (Santa Lucia Highlands),Central Coast,92,34.0,2013
1162,Syncline 2013 Boushey Vineyard Syrah (Yakima Valley),Columbia Valley,92,35.0,2013
1163,Betz Family 2013 La Serenne Syrah (Yakima Valley),Columbia Valley,92,57.0,2013
1164,Force Majeure 2013 Estate Grown Force Majeure Vineyard Syrah (Red Mountain),Columbia Valley,92,70.0,2013
1165,Caliza 2012 Syrah (Paso Robles),Central Coast,92,54.0,2012
1166,Stolpman 2013 Originals Syrah (Ballard Canyon),Central Coast,92,42.0,2013
1167,Baiocchi Wines 2012 Nicholas' Vineyard Syrah (Fair Play),Sierra Foothills,92,48.0,2012
1168,Five Star Cellars 2012 Syrah (Walla Walla Valley (WA)),Columbia Valley,91,34.0,2012
1169,Potek 2012 Tierra Alata Syrah (Ballard Canyon),Central Coast,91,45.0,2012
1170,Solminer 2013 Vollmond Syrah (Santa Ynez Valley),Central Coast,91,34.0,2013
1171,Bonny Doon 2012 Bien Nacido X Block Syrah (Santa Maria Valley),Central Coast,91,50.0,2012
1172,Full Pull & Friends 2013 Angela's Vineyard Syrah (Red Mountain),Columbia Valley,90,34.0,2013
1173,Atwater 2013 North Block Nine Syrah (Finger Lakes),Finger Lakes,90,30.0,2013
1174,Pondera 2012 Stillwater Creek Vineyard Syrah (Columbia Valley (WA)),Columbia Valley,90,38.0,2012
1175,Stolpman 2013 Estate Grown Syrah (Ballard Canyon),Central Coast,90,30.0,2013
1176,Chateau Ste. Michelle 2013 Syrah (Columbia Valley (WA)),Columbia Valley,90,15.0,2013
1177,Chateau Lafayette Reneau 2013 Syrah (Finger Lakes),Finger Lakes,90,27.0,2013
1178,Cougar Crest 2010 Estate Grown Syrah (Walla Walla Valley (WA)),Columbia Valley,89,38.0,2010
1179,Burnt Bridge 2013 Coyote Canyon Vineyard Syrah (Horse Heaven Hills),Columbia Valley,89,35.0,2013
1180,àMaurice 2013 Fred Estate Syrah (Walla Walla Valley (WA)),Columbia Valley,89,45.0,2013
1181,àMaurice 2014 Boushey Vineyard Syrah (Yakima Valley),Columbia Valley,89,45.0,2014
1182,Amavi 2013 Syrah (Walla Walla Valley (WA)),Columbia Valley,89,32.0,2013
1183,Burnt Bridge 2013 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,89,35.0,2013
1184,Barnard Griffin 2014 Syrah (Columbia Valley (WA)),Columbia Valley,89,17.0,2014
1185,Di Arie 2012 Estate Grown & Bottled Syrah (Sierra Foothills),Sierra Foothills,89,30.0,2012
1186,Stottle 2012 Elerding 6 Prong Syrah (Horse Heaven Hills),Columbia Valley,88,32.0,2012
1187,àMaurice 2014 Fred Estate Syrah (Walla Walla Valley (WA)),Columbia Valley,88,45.0,2014
1188,Murray 2013 Syrah (Red Mountain),Columbia Valley,88,20.0,2013
1189,Billsboro 2013 Sawmill Creek Vineyards Syrah (Finger Lakes),Finger Lakes,88,34.0,2013
1190,North by Northwest 2012 Syrah (Walla Walla Valley (WA)),Columbia Valley,87,35.0,2012
1191,Columbia Crest 2013 Reserve Syrah (Horse Heaven Hills),Columbia Valley,85,35.0,2013
1192,Clos du Lac 2012 Syrah (Amador County),Sierra Foothills,85,14.0,2012
1193,Tucannon 2012 Syrah (Walla Walla Valley (WA)),Columbia Valley,83,40.0,2012
1194,Beckmen 2013 Purisima Mountain Vineyard Syrah (Ballard Canyon),Central Coast,93,32.0,2013
1195,Rusack 2013 Estate Reserve Syrah (Ballard Canyon),Central Coast,92,40.0,2013
1196,Kaleidos 2012 Praying Mantis Syrah (Paso Robles),Central Coast,92,48.0,2012
1197,Falcone 2013 Syrah (Paso Robles),Central Coast,92,30.0,2013
1198,Sonkin Cellars 2012 Persona Syrah (Santa Barbara County),Central Coast,92,46.0,2012
1199,Zinke 2012 Thompson Vineyard Syrah (Santa Barbara County),Central Coast,92,45.0,2012
1200,Red Car 2011 Estate Vineyard Syrah (Fort Ross-Seaview),Sonoma,92,55.0,2011
1201,Lawer 2014 Rosé of Syrah (Knights Valley),Sonoma,91,22.0,2014
1202,Sequoia Grove 2012 Syrah (Napa Valley),Napa,91,40.0,2012
1203,Longboard 2013 Savage Coast Syrah (Russian River Valley),Sonoma,91,75.0,2013
1204,Gustafson Family 2012 Logging Road Vineyard Estate Syrah (Dry Creek Valley),Sonoma,91,32.0,2012
1205,Red Car 2011 Syrah (Sonoma Coast),Sonoma,91,38.0,2011
1206,Jason-Stephens 2011 Estate Select Syrah (Santa Clara Valley),Central Coast,91,36.0,2011
1207,Longboard 2013 Ledbetter Family Vineyard Syrah (Russian River Valley),Sonoma,91,49.0,2013
1208,Burgess 2012 Estate Vineyards Syrah (Napa Valley),Napa,90,36.0,2012
1209,Eleven Eleven 2013 Estate Syrah (Oak Knoll District),Napa,90,55.0,2013
1210,Rusack 2013 Estate Syrah (Ballard Canyon),Central Coast,90,29.0,2013
1211,Brave & Maiden 2012 Estate Limited Syrah (Santa Ynez Valley),Central Coast,89,65.0,2012
1212,Testarossa 2013 Novitiate Late Harvest Syrah (Chalone),Central Coast,89,27.0,2013
1213,Vie Winery 2012 Thompson Vineyard Syrah (Santa Barbara County),Central Coast,89,45.0,2012
1214,Folin Cellars 2012 Estate Syrah (Rogue Valley),Southern Oregon,89,32.0,2012
1215,Vie Winery 2012 White Hawk Vineyard Syrah (Santa Barbara County),Central Coast,89,45.0,2012
1216,Epiphany 2012 Hampton Vineyard Syrah (Santa Barbara County),Central Coast,88,35.0,2012
1217,VGS 2012 Syrah (Mount Veeder),Napa,88,75.0,2012
1218,Brecon Estate 2013 Syrah (Central Coast),Central Coast,87,39.0,2013
1219,Gustafson Family 2014 Heritage Tree Vineyard Estate Rosé of Syrah (Dry Creek Valley),Sonoma,87,20.0,2014
1220,Obsidian 2011 Syrah (Oregon),Oregon Other,86,28.0,2011
1221,Rideau 2013 Estate Syrah (Santa Ynez Valley),Central Coast,86,44.0,2013
1222,Tin Barn 2014 Coryelle Fields Vineyard Joon Rosé of Syrah (Sonoma Coast),Sonoma,85,23.0,2014
1223,Del Rio 2012 Estate Grown Syrah (Rogue Valley),Southern Oregon,82,35.0,2012
1224,Sweet Cheeks 2012 Barrel Select Syrah (Southern Oregon),Southern Oregon,82,28.0,2012
1225,Melville 2013 Verna's Syrah (Santa Barbara County),Central Coast,94,28.0,2013
1226,Red Car 2011 Vivio Vineyard Syrah (Bennett Valley),Sonoma,94,50.0,2011
1227,Montemaggiore 2011 Paolo's Vineyard Estate Grown Syrah (Dry Creek Valley),Sonoma,93,38.0,2011
1228,Chamisal Vineyards 2012 Califa Syrah (Edna Valley),Central Coast,93,48.0,2012
1229,Melville 2013 Estate Syrah (Sta. Rita Hills),Central Coast,93,32.0,2013
1230,Barbieri 2010 Rodney's Vineyard Syrah (Santa Barbara County),Central Coast,93,46.0,2010
1231,Rideau 2013 Daliet Reserve Syrah (Santa Ynez Valley),Central Coast,93,70.0,2013
1232,Lafond 2012 Hilltop Ranch Vineyard Syrah (Sta. Rita Hills),Central Coast,92,28.0,2012
1233,Avennia 2013 Arnaut Boushey Vineyard Syrah (Yakima Valley),Columbia Valley,92,50.0,2013
1234,Standing Sun 2012 Sky Rocket/Guitar Road Syrah (Santa Barbara County),Central Coast,92,100.0,2012
1235,Bien Nacido 2012 Syrah (Santa Maria Valley),Central Coast,92,55.0,2012
1236,Dunham 2012 Syrah (Columbia Valley (WA)),Columbia Valley,91,35.0,2012
1237,La Diligence 2010 Stagecoach Vineyard Syrah (Napa Valley),Napa,91,48.0,2010
1238,Gorman 2013 Behind the Black Curtain Reserve Syrah (Red Mountain),Columbia Valley,91,80.0,2013
1239,Belden Barns 2012 Estate Grown Syrah (Sonoma Mountain),Sonoma,91,42.0,2012
1240,Lafond 2011 Lafond Vineyard Syrah (Sta. Rita Hills),Central Coast,91,40.0,2011
1241,Krutz 2012 Stagecoach Vineyard Syrah (Napa Valley),Napa,90,35.0,2012
1242,Prospect 772 2012 The Brawler Syrah (Calaveras County),Sierra Foothills,90,36.0,2012
1243,Peju 2012 Syrah (Napa Valley),Napa,90,38.0,2012
1244,Montemaggiore 2013 Paolo's Vineyard Estate Grown Syrah (Dry Creek Valley),Sonoma,90,38.0,2013
1245,Fess Parker 2012 Rodney's Vineyard Syrah (Santa Barbara County),Central Coast,90,49.0,2012
1246,Graziano 2012 Syrah (Mendocino County),California,90,19.0,2012
1247,Balletto 2012 Syrah (Russian River Valley),Sonoma,90,28.0,2012
1248,Lone Birch 2013 Syrah (Yakima Valley),Columbia Valley,89,13.0,2013
1249,Epiphany 2012 Colson Canyon Vineyard Syrah (Santa Barbara County),Central Coast,89,40.0,2012
1250,Lafond 2012 SRH Syrah (Sta. Rita Hills),Central Coast,89,23.0,2012
